file,np,t,total_time,local_compute,comm,reduction,epoch_transition
strong_n2M_nodes1_np1_t4_run1,1,,208.736447,203.007495,4.884740,0.001561,0.000021
strong_n2M_nodes1_np1_t4_run2,1,,208.350595,202.612404,4.891470,0.001516,0.000021
strong_n2M_nodes1_np1_t4_run3,1,,208.169982,202.436101,4.886897,0.001565,0.000024
strong_n2M_nodes1_np2_t4_run1,2,,180.926100,174.459081,5.316273,1.080308,0.000020
strong_n2M_nodes1_np2_t4_run2,2,,181.035062,171.249069,5.248228,4.465480,0.000021
strong_n2M_nodes1_np2_t4_run3,2,,180.929181,172.285351,5.307420,3.262016,0.000020
strong_n2M_nodes1_np4_t4_run1,4,,126.947386,117.684503,9.207036,0.014445,0.000025
strong_n2M_nodes1_np4_t4_run2,4,,127.030883,117.503884,9.192876,0.293901,0.000033
strong_n2M_nodes1_np4_t4_run3,4,,126.909295,117.617115,9.164812,0.085610,0.000030
strong_n2M_nodes2_np8_t4_run1,8,,91.431248,58.943023,32.390443,0.074011,0.000029
strong_n2M_nodes2_np8_t4_run2,8,,91.085615,58.622283,32.377533,0.061751,0.000028
strong_n2M_nodes2_np8_t4_run3,8,,91.546035,58.713288,32.373740,0.435306,0.000027
strong_n2M_nodes4_np16_t4_run1,16,,57.873062,29.321788,19.197011,9.342122,0.000029
strong_n2M_nodes4_np16_t4_run2,16,,58.004825,29.799317,19.173806,9.019462,0.000026
strong_n2M_nodes4_np16_t4_run3,16,,57.876471,29.666976,19.180400,9.016817,0.000028
strong_n2M_nodes8_np32_t4_run1,32,,49.611992,14.866445,22.388109,12.351151,0.000036
strong_n2M_nodes8_np32_t4_run2,32,,49.490851,14.702862,22.372543,12.409252,0.000038
strong_n2M_nodes8_np32_t4_run3,32,,49.457850,14.746209,22.359970,12.345678,0.000024
