file,np,t,total_time,local_compute,comm,reduction,epoch_transition
weak_nodes1_np1_t4_run1,1,,42.885776,41.719941,0.970586,0.001563,0.000021
weak_nodes1_np1_t4_run2,1,,43.174498,42.008492,0.971318,0.001526,0.000025
weak_nodes1_np1_t4_run3,1,,42.267840,41.109798,0.967368,0.001526,0.000021
weak_nodes1_np2_t4_run1,2,,59.768526,54.128147,2.429350,3.173838,0.000022
weak_nodes1_np2_t4_run2,2,,59.191941,55.701630,2.428206,1.024465,0.000023
weak_nodes1_np2_t4_run3,2,,59.620038,53.678581,2.453319,3.451936,0.000020
weak_nodes1_np4_t4_run1,4,,127.619521,118.356084,9.212898,0.009411,0.000023
weak_nodes1_np4_t4_run2,4,,127.640338,118.379382,9.211034,0.008420,0.000023
weak_nodes1_np4_t4_run3,4,,127.769915,118.527281,9.192935,0.008358,0.000023
weak_nodes2_np8_t4_run1,8,,194.919935,130.081747,64.731629,0.065185,0.000029
weak_nodes2_np8_t4_run2,8,,194.916738,130.106628,64.703816,0.064886,0.000038
weak_nodes2_np8_t4_run3,8,,194.898271,130.084486,64.700041,0.071934,0.000037
weak_nodes4_np16_t4_run1,16,,250.697993,135.664116,73.140101,41.851629,0.000033
weak_nodes4_np16_t4_run2,16,,250.742607,135.810806,73.179527,41.709911,0.000042
weak_nodes4_np16_t4_run3,16,,250.731552,135.857335,73.191794,41.640199,0.000039
weak_nodes8_np32_t4_run1,32,,431.361351,139.789689,179.278590,112.247498,0.000035
weak_nodes8_np32_t4_run2,32,,431.299071,140.099906,179.293676,111.859945,0.000029
weak_nodes8_np32_t4_run3,32,,431.587932,139.768045,179.312533,112.462413,0.000041
